0,0,_power_V+
1,0,_power_V+
2,0,_power_V+
3,0,_power_V+
4,0,_power_V+
6,0,_power_V+
7,0,_power_V+
8,0,_power_V+
9,0,_power_V+
10,0,_power_V+
12,0,_power_V+
13,0,_power_V+
14,0,_power_V+
15,0,_power_V+
16,0,_power_V+
18,0,_power_V+
19,0,_power_V+
20,0,_power_V+
21,0,_power_V+
22,0,_power_V+
24,0,_power_V+
25,0,_power_V+
26,0,_power_V+
27,0,_power_V+
28,0,_power_V+
30,0,_power_V+
31,0,_power_V+
32,0,_power_V+
33,0,_power_V+
34,0,_power_V+
36,0,_power_V+
37,0,_power_V+
38,0,_power_V+
39,0,_power_V+
40,0,_power_V+
42,0,_power_V+
43,0,_power_V+
44,0,_power_V+
45,0,_power_V+
46,0,_power_V+
0,2,_signal_%B.A0
1,2,_signal_%B.A1
2,2,_signal_%B.A2
3,2,_signal_%B.A3
4,2,_signal_%B.A4
5,2,_signal_%B.A5
6,2,_signal_%B.A6
7,2,_signal_%B.A7
8,2,_signal_%B.A8
9,2,_signal_%B.A9
10,2,_signal_%B.A10
11,2,_signal_%B.A11
12,2,_signal_%B.A12
13,2,_signal_%B.A13
14,2,_signal_%B.A14
15,2,_signal_%B.A15
16,2,_signal_%B.A16
17,2,_signal_%B.A17
18,2,_signal_%B.A18
19,2,_signal_%B.A19
20,2,_signal_%B.A20
21,2,_signal_%B.A21
22,2,_signal_%B.A22
23,2,_signal_%B.A23
24,2,_signal_%B.A24
25,2,_signal_%B.A25
26,2,_signal_%B.A26
27,2,_signal_%B.A27
28,2,_signal_%B.A28
29,2,_signal_%B.A29
30,2,_signal_%B.A30
31,2,_signal_%B.A31
32,2,_signal_%B.A32
33,2,_signal_%B.A33
34,2,_signal_%B.A34
35,2,_signal_%B.A35
36,2,_signal_%B.A36
37,2,_signal_%B.A37
38,2,_signal_%B.A38
39,2,_signal_%B.A39
40,2,_signal_%B.A40
41,2,_signal_%B.A41
42,2,_signal_%B.A42
43,2,_signal_%B.A43
44,2,_signal_%B.A44
45,2,_signal_%B.A45
46,2,_signal_%B.A46
0,3,_signal_%B.A0
1,3,_signal_%B.A1
2,3,_signal_%B.A2
3,3,_signal_%B.A3
4,3,_signal_%B.A4
5,3,_signal_%B.A5
6,3,_signal_%B.A6
7,3,_signal_%B.A7
8,3,_signal_%B.A8
9,3,_signal_%B.A9
10,3,_signal_%B.A10
11,3,_signal_%B.A11
12,3,_signal_%B.A12
13,3,_signal_%B.A13
14,3,_signal_%B.A14
15,3,_signal_%B.A15
16,3,_signal_%B.A16
17,3,_signal_%B.A17
18,3,_signal_%B.A18
19,3,_signal_%B.A19
20,3,_signal_%B.A20
21,3,_signal_%B.A21
22,3,_signal_%B.A22
23,3,_signal_%B.A23
24,3,_signal_%B.A24
25,3,_signal_%B.A25
26,3,_signal_%B.A26
27,3,_signal_%B.A27
28,3,_signal_%B.A28
29,3,_signal_%B.A29
30,3,_signal_%B.A30
31,3,_signal_%B.A31
32,3,_signal_%B.A32
33,3,_signal_%B.A33
34,3,_signal_%B.A34
35,3,_signal_%B.A35
36,3,_signal_%B.A36
37,3,_signal_%B.A37
38,3,_signal_%B.A38
39,3,_signal_%B.A39
40,3,_signal_%B.A40
41,3,_signal_%B.A41
42,3,_signal_%B.A42
43,3,_signal_%B.A43
44,3,_signal_%B.A44
45,3,_signal_%B.A45
46,3,_signal_%B.A46
0,4,_signal_%B.A0
1,4,_signal_%B.A1
2,4,_signal_%B.A2
3,4,_signal_%B.A3
4,4,_signal_%B.A4
5,4,_signal_%B.A5
6,4,_signal_%B.A6
7,4,_signal_%B.A7
8,4,_signal_%B.A8
9,4,_signal_%B.A9
10,4,_signal_%B.A10
